X,Y,OBJECTID,Count_,Int_Number,Location
775163.9054,2939987.09,94,777,230,Pleasant St. & Stoughton St.
766385.6586,2946605.018,95,781,4023,Prentiss St. & Tremont St.
754811.0097,2930328.154,96,795,771,Robert St. & South St.
749744.9517,2921374.256,97,796,1003,Rockingham Ave. & Washington St.  @ Engine #55
748205.4208,2919561.513,98,797,2335,Rockland St. & Washington St.
768643.8878,2946298.655,99,799,202,Ruggles St. & Shawmut Ave.
790445.951,2965830.161,100,801,980,Saratoga St. & St. Edward Rd.
778209.9536,2954046.164,101,805,3109,Seaport Blvd. & Sleeper St.
771491.1991,2949360.408,102,806,647,Shawmut Ave. & West Brookline St.
771189.511,2949087.908,103,807,545,Shawmut Ave. & West Newton St.
755150.8835,2930511.904,104,811,770,South St. & Walter St.
756980.7703,2929873.725,105,812,2165,South St. & Washington St. @ Forest Hills MBTA Station Busway Exit (Monitor #253)
763964.0721,2946613.908,106,816,138,St. Alphonsus St. & Tremont St.
750989.1945,2948624.408,107,818,392,Strathmore Rd. & Sutherland Rd.
777950.6371,2952555.909,108,1,1251,A St. & Melcher St.
777383.137,2956092.16,109,87,2006,Atlantic Ave. & Milk St.
777256.8242,2957137.91,110,89,1964,Atlantic Ave. & Richmond
777312.6995,2956403.91,111,90,2023,Atlantic Ave. & State St.
776351.6993,2953860.159,112,91,43,Atlantic Ave. & Summer St.
758527.1335,2953409.159,113,104,1263,Babcock St. & Commonwealth Ave.
766165.9757,2923719.042,114,105,849,Babson St. & Blue Hill Ave.
766429.2609,2926041.654,115,107,1648,Babson St. & Norfolk St.
746297.2933,2926204.951,116,108,817,Baker St. & Gardner St.
746246.0071,2925705.403,117,109,727,Baker St. & Spring St.
759485.1966,2937790.156,118,111,1786,Ballard St. & Centre St.
772036.5736,2954952.41,119,117,4080,Beacon St. & Brimmer St.
772543.4486,2955130.66,120,118,65,Beacon St. & Charles St.
766553.2719,2952933.396,121,119,314,Beacon St. & Charlesgate East
766553.2719,2952933.396,122,120,152,Beacon St. & Charlesgate West
770511.3854,2954397.16,123,122,336,Beacon St. & Clarendon St.
769937.1994,2954182.91,124,123,104,Beacon St. & Dartmouth St.
769352.7605,2953966.659,125,124,337,Beacon St. & Exeter St.
768736.4477,2953739.659,126,125,338,Beacon St. & Fairfield St.
768208.9477,2953544.91,127,126,339,Beacon St. & Gloucester St.
761815.6966,2948066.658,128,251,1432,Brookline Ave. & Francis St.
767222.5548,2939452.723,129,456,520,Crawford St. & Humboldt Ave.
779725.7534,2951278.723,130,475,4062,D St. & Fargo St.
776405.5745,2947436.408,131,477,147,D St. & Old Colony
749439.2456,2921024.173,132,498,1752,Desoto Rd. & Washington St.
775819.9867,2954867.807,133,499,56,Devonshire St. & Franklin St.
775820.3242,2955336.91,134,500,55,Devonshire St. & Milk St.
775812.3243,2955639.66,135,501,54,Devonshire St. & Water St.
765616.8829,2941469.41,136,502,4089,Dimock St. & Washington St.
775903.887,2948839.908,137,504,2307,Dorchester Ave. & Haul Rd.
775904.2922,2948482.133,138,505,271,Dorchester Ave. & Old Colony Ave.
775028.0627,2934153.523,139,506,356,Dorchester Ave. & Park St.
773187.9062,2925135.083,140,507,721,Dorchester Ave. & Richmond St.
775929.3873,2939388.157,141,508,344,Dorchester Ave. & Savin Hill Ave.
777031.3523,2953400.815,142,509,46,Dorchester Ave. & Summer St.
776058.0747,2940901.907,143,510,4041,Dorchester Ave. & Taft St.
773484.7642,2926618.967,144,511,807,Dorchester Ave. & Valley Rd.
775890.7252,2949817.459,145,512,309,Dorchester Ave. & West Fourth St.
776065.5327,2940287.506,146,513,960,Dorchester Ave. @ Belfort St. & Victoria St.
774644.3246,2932333.405,147,514,979,Dorchester Ave. @ Centre St.
775409.6997,2936191.406,148,515,4026,Dorchester Ave. @ Kimball St.
772938.3863,2952135.159,149,696,1330,Marginal Rd. & Tremont St.
777560.0747,2946624.908,150,522,752,Dorchester St. & East Eighth St.
773931.7021,2951899.734,151,697,1332,Marginal Rd. & Washington St.
778182.2353,2947059.992,152,525,2161,Dorchester St. & West Sixth St.
751010.3193,2955011.659,153,698,187,Market St. & North Beacon St.
771007.3862,2944161.907,154,528,207,Dudley St. & Hampden St.  @ Dunmore St.
768994.3501,2945048.31,155,529,208,Dudley St. & Harrison Ave.
767238.5101,2952856.659,156,699,89,Marlborough St. & Massachusetts Ave.
768797.8767,2945081.592,157,530,209,Dudley St. & Warren St.
778265.8871,2948736.909,158,536,945,E St. & West Third St
773940.4538,2950501.407,159,537,366,East Berkeley St. & Harrison Ave.
773207.1362,2950798.909,160,538,87,East Berkeley St. & Shawmut Ave.
767428.136,2941896.156,161,700,1595,Martin Luther King Jr. Blvd. & Walnut Ave.
773508.6363,2950661.909,162,539,365,East Berkeley St. & Washington St.
769173.2584,2941156.658,163,701,1611,Martin Luther King Jr. Blvd. & Warren St.
779387.075,2947610.908,164,540,625,East Broadway & G St.
770241.0108,2948232.408,165,705,97,Massachusetts Ave. & Shawmut Ave.
781777.2006,2947678.658,166,541,304,East Broadway & L St.
769605.159,2948936.528,167,707,96,Massachusetts Ave. & Tremont St.
772168.1986,2948606.158,168,543,661,East Brookline St. & Harrison Ave.
770513.4404,2947932.214,169,708,98,Massachusetts Ave. & Washington St.
771557.5737,2947933.908,170,545,467,East Concord St. & Harrison Ave.
768151.1979,2950423.658,171,709,93,Massachusetts Ave. & Westland Ave. @ St. Stephen St.
781830.1382,2946165.158,172,546,455,East Eighth St. & L St.
771982.5979,2946384.458,173,711,1552,Massachusetts Ave. @ Gerard St.
780564.5755,2947027.658,174,547,1462,East Fifth St. & I St.
760353.7594,2936738.156,175,716,1738,McBride St. & South St.
781805.3882,2947063.908,176,548,2242,East Fifth St. & L St.
774621.3861,2964091.161,177,718,1859,Medford St. & Terminal St.
769039.9487,2946932.407,178,720,2088,Melnea Cass Blvd. & Shawmut Ave.
767331.3875,2937396.654,179,553,325,Elm Hill Ave. & Seaver St.
769471.0939,2946603.622,180,723,2089,Melnea Cass Blvd. & Washington St.
768806.8234,2939393.906,181,554,580,Elm Hill Ave. & Warren St.  @ Waumbeck St.
772003.6991,2932194.905,182,724,148,Melville Ave. & Washington St.
770175.8863,2935863.906,183,559,607,Erie St. & Washington St.
780654.1374,2964038.162,184,726,983,Meridian St. & White St.
774723.949,2953785.91,185,560,1070,Essex St. & Harrison Ave.
775162.324,2957632.91,186,729,311,Merrimac St. & New Chardon St.
775264.5117,2953797.159,187,561,375,Essex St. & Kingston St.
772686.3857,2963453.411,188,562,2338,Essex St. & Main St.
774022.5072,2957319.91,189,765,4128,O'Connell Way & Staniford St.
769490.1126,2945941.098,190,566,573,Eustis St. & Harrison Ave.
782111.44,2960908.027,191,766,4027,Orleans St. & Porter St.
764826.7335,2947989.156,192,568,1532,Evans Way & Huntington Ave.
775475.1989,2954367.16,193,767,605,Otis St. & Summer St.
754383.6323,2956485.659,194,570,897,Everett St. & Holton St.
773305.137,2933501.155,195,770,591,Park St. & Waldeck St.
753728.3823,2954161.159,196,571,1336,Everett St. & North Beacon St.
771930.1992,2933000.405,197,771,539,Park St. & Washington St.
754726.32,2957582.91,198,572,756,Everett St. & Western Ave.
766029.6985,2948078.408,199,773,389,Parker St. & Ruggles St.
769728.1356,2952964.409,200,574,793,Exeter St. & Newbury St.
765083.8845,2946190.156,201,774,610,Parker St. & Tremont St.
749106.1941,2954701.159,202,577,561,Faneuil St. & Parsons St.
776892.262,2954537.41,203,775,602,Pearl St. & Purchase St.
776034.8242,2954886.41,204,579,49,Federal St. & Franklin St.
761060.7628,2942454.943,205,776,267,Perkins St. & South Huntington Ave.
766841.6977,2949104.408,206,589,643,Forsyth St. & Huntington Ave.
764670.9483,2921900.903,207,788,1734,Rector Rd. & River St.
748856.1769,2952410.193,208,591,1475,Foster St. & Washington St.
756080.4466,2917148.652,209,789,1318,Reservation Rd. & River St.
762301.9467,2947652.658,210,592,2330,Francis St. & Vining St.
772696.3871,2924608.154,211,790,1488,River St. & Washington St.
776474.1367,2955100.91,212,593,548,Franklin St. & Pearl St.
762161.0103,2920968.903,213,791,1448,River St. & Wood Ave.
767967.3268,2949721.801,214,604,363,Gainsborough St. & Huntington Ave.
755566.3201,2957616.159,215,849,698,Western Ave. @ Riverdale St.
776336.1368,2949905.659,216,2,1110,A St. & West Broadway
774535.3247,2933958.906,217,606,739,Geneva Ave. & Park St.
776115.4492,2949646.159,218,3,417,A St. & West Fourth St.
773201.0118,2935012.156,219,607,789,Geneva Ave. & Westville St.
776665.1369,2950281.909,220,4,1984,A St. & West Second St.
757169.947,2915822.151,221,610,1109,Glenwood Ave. & Hyde Park Ave.
776474.6717,2930382.615,222,9,351,Adams St. & Ashmont St.
776815.8878,2926990.404,223,613,900,Granite Ave. & Hill Top St.
774140.1998,2924906.654,224,10,755,Adams St. & Butler St.
776001.0758,2934013.156,225,12,617,Adams St. & Gibson St.
776658.0126,2927502.155,226,614,345,Granite Ave. & Milton St.
775703.1372,2934413.406,227,13,357,Adams St. & Park St.
748996.4987,2920450.074,228,616,256,Grove St. & Washington St.
774746.075,2925631.904,229,14,875,Adams St. & Richmond St.
775969.7002,2931535.405,230,16,1743,Adams St. @ Lonsdale St.
755916.6953,2928526.655,231,22,1686,Albano St. & Washington St.
762403.4571,2946721.312,232,663,3133,"Huntington Ave., Mission St., & St. Albans Rd"
751220.7569,2955472.659,233,617,3112,Guest St. & Market St.
771817.237,2946528.381,234,673,1093,"JFF Ramp, Massachusetts Ave., Melnea Cass Blvd., & Southampton St."
766124.5104,2939048.656,235,624,2069,Harold St. & Seaver St.
772043.3238,2947387.158,236,23,813,Albany St. & East Concord St.
775397.0118,2952860.909,237,678,403,"Kneeland St., Lincoln St., & Ramp X"
774236.5113,2951541.409,238,625,1122,Harrison Ave. & Herald St.
774289.5115,2953187.909,239,679,15,"Kneeland St., Stuart St., & Washington St."
771034.2899,2947363.19,240,627,99,Harrison Ave. & Massachusetts Ave.
772403.9488,2947736.658,241,24,382,Albany St. & East Newton St.
773750.948,2958614.148,242,685,2248,"Lomasney Way, Martha Rd., & Nashua St."
769897.8835,2946313.909,243,628,2090,Harrison Ave. & Melnea Cass Blvd.
773487.1974,2962542.409,244,690,1553,"Main St., School St., & West School St."
774030.6364,2950867.909,245,630,1452,Harrison Ave. & Traveler St.
774765.074,2951398.659,246,25,70,Albany St. & Herald St.
766515.5102,2942507.907,247,702,1592,"Martin Luther King Jr. Blvd., Valentine St., & Washington St. (Monitor #4100)"
770209.4487,2933466.155,248,636,511,Harvard St. & Norwell St.
772540.76,2945604.407,249,714,697,"Massachusetts Ave., Pompeii St., & Theo A. Glynn Way"
771492.9823,2946855.771,250,26,100,Albany St. & Massachusetts Ave.
764512.6354,2928162.154,251,637,686,Harvard St. & Walk Hill St.
757540.6346,2938891.155,252,715,862,"May St., Moss Hill Rd., & Pond St."
762919.9471,2944110.407,253,638,1802,Heath St. & Schiller St.
770558.8859,2946012.158,254,27,2091,Albany St. & Melnea Cass Blvd.
762087.0095,2936606.156,255,717,986,"McBride St., Rossmore Rd., & Washington St."
767031.4476,2950634.658,256,639,481,Hemenway St. & Westland Ave.
772526.953,2925012.654,257,738,1243,"Morton St., Richmond St., & Washington St."
773528.1363,2951737.659,258,640,447,Herald St. & Shawmut Ave.
771242.1012,2946608.934,259,28,204,Albany St. & Northampton St.
772222.1354,2949497.909,260,741,1099,"Msgr. Reynolds Way, Washington St., & West Dedham St."
773875.8859,2951640.659,261,641,1127,Herald St. & Washington St.
777737.7002,2932056.905,262,745,982,"Neponset Ave., Pope's Hill St., & South Monroe Terr."
775603.0116,2957808.66,263,747,1862,"New Chardon St., North Washington St., & Surface Rd. SB  (w/ Canal St. @ New Chardon St.)"
774558.3864,2950699.159,264,30,4115,Albany St. & Traveler St.
764243.8002,2947687.639,265,652,269,Huntington Ave. & Longwood Ave.
770566.5741,2931624.905,266,748,1921,"New England Ave., Norwell St., & Talbot Ave."
768388.3854,2950201.659,267,653,94,Huntington Ave. & Massachusetts Ave.
773609.2614,2952366.909,268,763,1922,"Oak St. West, Shawmut Ave., & Tremont St."
773030.6304,2968973.404,269,35,729,Alford St. & Dexter St.
761054.1498,2946245.18,270,655,206,Huntington Ave. & South Huntington Ave.
774010.699,2952297.409,271,764,112,"Oak St., Oak St. West, & Washington St."
763663.3921,2947414.935,272,656,2354,Huntington Ave. & Wigglesworth St.
773767.4491,2943669.407,273,40,476,Allstate Rd. & Massachusetts Ave. @ Boston Edison Co.
759478.1906,2930890.354,274,665,881,Hyde Park Ave. & Southbourne Rd.
774546.6989,2955257.41,275,772,8,"Park St., Tremont St., & Winter St."
760360.3845,2933848.155,276,666,2162,Hyde Park Ave. & Ukraine Way
775474.2621,2939315.657,277,778,622,"Pleasant St., Savin Hill Ave., & Sawyer Ave."
754977.0077,2953959.909,278,41,1808,Allston St. & Brighton Ave.
760002.8806,2933147.671,279,667,249,Hyde Park Ave. & Walk Hill St.
768972.3234,2940592.157,280,786,526,"Quincy St., Townsend St., & Warren St."
774868.6991,2953041.409,281,677,401,Kneeland St. & Tyler St.
767158.6814,2947175.445,282,800,611,"Ruggles St., Tremont St., & Whittier St."
754078.8827,2952167.158,283,42,335,Allston St. & Commonwealth Ave.
747941.1294,2952343.428,284,680,726,Lake St. & Washington St.
768967.0733,2943409.657,285,840,990,"Walnut Ave., Warren St., & Whiting St."
773008.1388,2944863.904,286,688,696,Magazine St. & Massachusetts Ave.
775254.1076,2935195.509,287,11,228,Adams St. & Dorchester Ave. (Fields Corner)
753965.0084,2951898.658,288,43,522,Allston St. & Kelton St.
772044.3239,2944364.157,289,689,527,Magazine St. & Norfolk Ave.
774167.4068,2949581.356,290,34,1333,"Albany St., MBTA Drive & Randolph St."
777614.8597,2955447.196,291,86,40,Atlantic Ave. & High St.  (Monitor #1486)
767497.7603,2945778.408,292,691,2349,Malcolm X Blvd. & Roxbury St.
777399.5848,2954614.123,293,95,1216,"Atlantic Ave., Ramp CA-N, & Seaport Blvd."
753538.3535,2950986.065,294,44,638,Allston St. & Summit Ave.
767778.0734,2937079.906,295,694,981,Maple St. & Seaver St.
750541.4451,2947643.156,296,121,183,Beacon St. & Chestnut Hill Ave. (Cleveland Circle)
764965.4479,2927781.654,297,45,719,Almont St. & Walk Hill St.
756357.905,2929906.295,298,144,1088,"Belgrade Ave., MBTA Driveway, & South St."
768492.0734,2936534.656,299,188,2104,Blue Hill Ave. & Seaver St. (Rt. Turn)
769063.2518,2938098.361,300,190,189,Blue Hill Ave. & Warren St. (Grove Hall)
767883.5605,2933931.641,301,46,216,American Legion Hwy. & Blue Hill Ave.
770355.5735,2942085.657,302,191,1486,Blue Hill Ave. & West Cottage St.  (Monitor #1485)
759863.0077,2926910.391,303,47,1195,American Legion Hwy. & Canterbury St.
766083.9414,2922752.818,304,196,234,"Blue Hill Ave., Cummins Hwy., & River St. (Mattapan Sq.)"
766493.6982,2933114.905,305,48,1301,American Legion Hwy. & Franklin Hill Ave.
766782.885,2951550.659,306,220,9005,Boylston St. & Fenway  (Monitor #9016)
765554.9473,2951090.409,307,223,938,Boylston St. & Ipswich St (Monitor #983)
763592.2596,2950386.908,308,227,9006,Boylston St. & Park Dr.  (Monitor #9017)
758969.073,2924580.747,309,49,1645,American Legion Hwy. & Hyde Park Ave.
777470.8747,2955392.174,310,246,4104,Broad St. & Surface Rd. SB
773696.1978,2956919.66,311,272,412,Cambridge St. & Joy St.  (Monitor #4021)
760389.3239,2928155.153,312,51,1194,American Legion Hwy. & Mt. Hope St.
762595.0725,2930096.154,313,52,369,American Legion Hwy. & Walk Hill St.
771188.2863,2965260.725,314,273,987,Cambridge St. & Maffa Way (Sullivan Sq.)
774909.1365,2958604.66,315,296,30,Causeway St. & Haverhill St. (Monitor #506)
745743.756,2953128.408,316,328,1071,Champney St. & Faneuil St. (Oak Square)
764004.0098,2941251.907,317,55,615,Amory St. & Atherton St.
774529.4376,2960585.758,318,353,162,"Chelsea St., North Washington St. Bridge, & Rutherford Ave. (City Sq.)"
776767.5364,2956848.51,319,374,1960,"Clinton St., Ramp CS-SA, & Surface Rd. SB"
763506.1348,2940648.407,320,56,710,Amory St. & Boylston St.
764811.9051,2940361.905,321,392,191,Columbus Ave. & Washington St. (Egleston Square)
747694.5689,2949168.657,322,421,1788,Commonwealth Ave. & Greycliff St.  (Monitor #1787)
776063.5741,2955647.66,323,446,51,"Congress St., Post Office Sq., & Water St."
762465.6262,2938411.329,324,59,372,Amory St. & Green St.
748656.7662,2952399.699,325,487,846,"Dale St., Oakland St., & Washington St.  (Monitor #4112)"
